Triticum aestivum L.;Pšenice setá
Triticum turgidum;Pšenice tvrdá
Triticum monococcum;Pšenice jednozrnka
Secale cereale;Žito seté
Hordeum vulgare;Ječmen obecný
Avena sativa;Oves setý
Avena chinensis;Oves nahý
Avena abyssinica;Oves habešský
Panicum miliaceum;Proso seté
Sorghum bicolor;Čirok obecný
Oryza sativa;Rýže setá
Setaria pumila;Bér sivý
Setaria viridis;Bér zelený
Fagopyrum esculentum;Pohanka obecná
Fagopyrum tataricum;Pohanka tatarská
Zea mays;Kukuřice setá
Chenopodium quinoa;Merlík čilský
Coix lacryma-jobi;Slzovka obecná
Amaranthus caudatus;Laskavec ocasatý
Amaranthus hypochondriacus;Laskavec červenoklasý
Chenopodium quinoa;Merlíč čilský
