Macrolepiota procera;Bedla vysoká
Choiromyces meandriformis;Bělolanýž obecný
Calocybe gambosa;Čirůvka májovka
Discina perlata;Destice chřapáčová
Pleurotus ostreatus;Hlíva ústřičná
Boletus pinophilus;Hřib borový
Boletus reticulatus;Hřib dubový
Imleria badia;Hřib hnědý
Gyroporus castaneus;Hřib kaštanový
Suillellus luridus;Hřib koloděj
Boletus luridiformis;Hřib kovář
Boletus regius;Hřib královský
Gyroporus cyanescens;Hřib siný
Boletus edulis;Hřib smrkový
Suillus variegatus;Hřib strakoš
Polyporus umbellatus;Choroš oříš
Verpa bohemica;Kačenka česká
Sparassis crispa;Kotrč kadeřavý
Leccinum crocipodium;Kozák dubový
Suillus bovinus;Klouzek kravský
Suillus luteus;Klouzek obecný
Albatrellus confluens;Krásnoporka žemlička
Leccinum rufum;Křemenáč osikový
Ramaria botrytis;Kuřátka květáková
Laccaria amethystina;Lakovka ametystová
Tuber aestivum;Lanýž letní
Lyophyllum decastes;Líha nahloučená
Cantharellus cibarius;Liška obecná
Hydnum repandum;Lišák zprohýbaný
Sarcodon imbricatus;Lošák jelení
Clitopilus prunulus;Mechovka obecná
Amanita caesarea;Muchomůrka císařka
Amanita rubescens;Muchomůrka růžovka
Amanita excelsa;Muchomůrka šedivka
Catathelasma imperiale;Náramkovitka císařská
Flammulina velutipes;Penízovka sametonohá
Amanita vaginata;Pošvatka obecná
Fistulina hepatica;Pstřen dubový
Lycoperdon perlatum;Pýchavka obecná
Langermannia gigantea;Pýchavka obrovská
Lactarius deliciosus;Ryzec pravý
Lactarius volemus;Ryzec syrovinka
Cortinarius caperatus;Sluka svraskalá
Morchella esculenta;Smrž obecný
Craterellus cornucopioides;Stroček trubkovitý
Gomphus clavatus;Stročkovec kyjovitý
Tricholomopsis rutilans;Šafránka červenožlutá
Marasmius oreades;Špička obecná
Pluteus cervinus;Štítovka jelení
Hygrophorus marzuolus;Šťavnatka březnovka
Grifola frondosa;Trsnatec lupenitý
Armillaria mellea;Václavka obecná
Agaricus campestris;Žampion polní
Agaricus hortensis;Žampion zahradní
Phaeolepiota aurea;Bedlovnice zlatá
Tricholoma sulphureum;Čirůvka sírožlutá
Mycena epipterygia;Helmovka slizká
Resupinatus applicatus;Hlíva připjatá
Russula emetica;Holubinka vrhavka
Boletus calopus;Hřib kříšť
Tylopilus felleus;Hřib žlučník
Geastrum striatum;Hvězdovka límečková
Geastrum melanocephalum;Hvězdovka vlasohlavá
Elaphomyces granulatus;Jelenka obecná
Agaricus griseopallidus;Kalichovka bledošedá
Bulgaria inquinans;Klihatka černá
Calocera viscosa;Krásnorůžek lepkavý
Peziza arvernensis;Řasnatka lesní
Laccaria tortilis;Lakovka zakroucená
Stropharia aeruginosa;Límcovka měděnková
Scleroderma citrinum;Pestřec obecný
Lactarius rufus;Ryzec ryšavý
Lactarius blennius;Ryzec zelený
Peziza succosa;Řasnatka šťavnatá
Gomphidius roseus;Slizák růžový
Pseudoplectania nigrella;Ušíčko černé
Cystoderma carcharias;Zrnivka žraločí
Paxillus involutus;Čechratka podvinutá
Tricholoma sejunctum;Čirůvka odlišná
Mycena pelianthina;Helmovka zoubkatá
Boletus satanas;Hřib satan
Amanita citrina;Muchomůrka citronová
Amanita muscaria;Muchomůrka červená
Amanita virosa;Muchomůrka jízlivá
Amanita regalis;Muchomůrka královská
Amanita pantherina;Muchomůrka panterová
Amanita phalloides;Muchomůrka zelená
Phellinus igniarius;Ohňovec obecný
Cerrena unicolor;Outkovka jednobarvá
Cortinarius orellanus;Pavučinec plyšový
Scleroderma verrucosum;Pestřec bradavčitý
Clitocybe phaeophthalma;Strmělka pohárovitá
Clitocybe phyllophila;Strmělka vosková
Hypholoma fasciculare;Třepenitka svazčitá
Gyromitra esculenta;Ucháč obecný
Inocybe erubescens;Vláknice Patouillardova
Inocybe erubescens;Vláknice začervenalá
Entoloma sinuatum;Závojenka olovová
Entoloma vernum;Zvonovka jarní
Agaricus xanthodermus;Žampion zápašný
Agaricus hortensis;Žampion zahradní
